model,params,key,C,l1_ratio,accuracy,precision,recall,f1,time_min,alpha,fit_prior,norm,loss
MultinomialNB,{'alpha': 0.001},"MultinomialNB|{""alpha"": 0.001}",,,0.7505377665785754,0.8082142857142857,0.8256863997081091,0.816856923701665,0.0015669805499991,0.001,,,
MultinomialNB,{'alpha': 0.01},"MultinomialNB|{""alpha"": 0.01}",,,0.7501690123532665,0.8081940845322134,0.8250022803977014,0.8165116908910355,0.0015498296333343,0.01,,,
MultinomialNB,{'alpha': 0.05},"MultinomialNB|{""alpha"": 0.05}",,,0.7495544219777518,0.8080500894454383,0.8240445133631306,0.8159689292327146,0.0015608770166655,0.05,,,
MultinomialNB,{'alpha': 0.1},"MultinomialNB|{""alpha"": 0.1}",,,0.7490627496773401,0.8077473608874575,0.8235884338228587,0.8155909850503591,0.0015371089333333,0.1,,,
MultinomialNB,{'alpha': 0.5},"MultinomialNB|{""alpha"": 0.5}",,,0.7461741749124209,0.8038779685137419,0.824409376995348,0.8140142303881833,0.0017518909500002,0.5,,,
MultinomialNB,{'alpha': 1.0},"MultinomialNB|{""alpha"": 1.0}",,,0.7448220760862885,0.7983878033821081,0.831159354191371,0.8144440471934216,0.0016801052999994,1.0,,,
BernoulliNB,{'alpha': 0.0001},"BernoulliNB|{""alpha"": 0.0001}",,,0.7361870813103066,0.8570358079537548,0.7302745598832436,0.7885936615036075,0.0047203566999996,0.0001,,,
BernoulliNB,{'alpha': 0.001},"BernoulliNB|{""alpha"": 0.001}",,,0.736033433716428,0.8570740066402485,0.7299553042050534,0.788423645320197,0.0032561497166682,0.001,,,
BernoulliNB,{'alpha': 0.01},"BernoulliNB|{""alpha"": 0.01}",,,0.735326654784586,0.8570126039152588,0.7287694974003466,0.7877055039313795,0.0032675713000003,0.01,,,
BernoulliNB,{'alpha': 0.05},"BernoulliNB|{""alpha"": 0.05}",,,0.7343125806649868,0.8570276373803635,0.7269451792392593,0.7866449511400652,0.0031459570666678,0.05,,,
BernoulliNB,{'alpha': 0.1},"BernoulliNB|{""alpha"": 0.1}",,,0.7331141294327331,0.8568425591548536,0.7250296451701177,0.7854443044541615,0.0034690192666668,0.1,,,
BernoulliNB,{'alpha': 0.5},"BernoulliNB|{""alpha"": 0.5}",,,0.731024522155983,0.856856477217316,0.7212897929398887,0.783250377634153,0.0033628568833326,0.5,,,
BernoulliNB,{'alpha': 1.0},"BernoulliNB|{""alpha"": 1.0}",,,0.7296416938110749,0.8559652928416486,0.719875946365046,0.7820442947034633,0.0032029796666658,1.0,,,
ComplementNB,"{'alpha': 0.0001, 'fit_prior': True, 'norm': False}","ComplementNB|{""alpha"": 0.0001, ""fit_prior"": true, ""norm"": false}",,,0.7340667445147809,0.8787671232876713,0.7021800602024993,0.7806114688434822,0.0026591516500009,0.0001,True,False,
ComplementNB,"{'alpha': 0.0001, 'fit_prior': True, 'norm': True}","ComplementNB|{""alpha"": 0.0001, ""fit_prior"": true, ""norm"": true}",,,0.6622518591358859,0.939898624185373,0.5327921189455441,0.6800756803958666,0.0016272007333346,0.0001,True,True,
ComplementNB,"{'alpha': 0.0001, 'fit_prior': False, 'norm': False}","ComplementNB|{""alpha"": 0.0001, ""fit_prior"": false, ""norm"": false}",,,0.7340667445147809,0.8787671232876713,0.7021800602024993,0.7806114688434822,0.0015167469499999,0.0001,False,False,
ComplementNB,"{'alpha': 0.0001, 'fit_prior': False, 'norm': True}","ComplementNB|{""alpha"": 0.0001, ""fit_prior"": false, ""norm"": true}",,,0.6622518591358859,0.939898624185373,0.5327921189455441,0.6800756803958666,0.0014340622000001,0.0001,False,True,
ComplementNB,"{'alpha': 0.001, 'fit_prior': True, 'norm': False}","ComplementNB|{""alpha"": 0.001, ""fit_prior"": true, ""norm"": false}",,,0.7336365312519206,0.8788866026520348,0.7013135090759829,0.780122774085536,0.0013638560999993,0.001,True,False,
ComplementNB,"{'alpha': 0.001, 'fit_prior': True, 'norm': True}","ComplementNB|{""alpha"": 0.001, ""fit_prior"": true, ""norm"": true}",,,0.6854833753303423,0.9222101841820152,0.5823223570190641,0.713874367504403,0.0013676753666667,0.001,True,True,
ComplementNB,"{'alpha': 0.001, 'fit_prior': False, 'norm': False}","ComplementNB|{""alpha"": 0.001, ""fit_prior"": false, ""norm"": false}",,,0.7336365312519206,0.8788866026520348,0.7013135090759829,0.780122774085536,0.0013870193166667,0.001,False,False,
